EPRID,ServerName,HostName,ServerType,ServerStatus,OSName,AppCIName,DeviceFunction,Site,Cell,Pod,Environment,Company,ServerOrService,Status,RIPPlanDate,RIPActualDate,RIPExcludeDate
112107,g9u0068c.sdklsdla.company.com,g9u0068c,Physical,active,hp-ux,,cfg shared server,Location 3,1,C,Production,Instance 1,Batch Monitoring (Tidal),Scheduled,10/1/2015,NULL,NULL
201734,c1t04913.itcs.company.com,c1t04913,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201734,c2t06270.itcs.company.com,c2t06270,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,9/1/2015,NULL,NULL
201665,c9t04591.itcs.company.com,c9t04591,Cloud,release,linux,,Cloud Automation,,,,Development,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
114378,c0005563.itcs.company.com,c0005563,Cloud,release,linux,,Cloud Automation,Location 1,,,Staging,Instance 1,Application Server,Scheduled,1/15/2016,NULL,NULL
114378,g1w0246c.dsflakdjfl.company.com,g1w0246c,Physical,active,windows,,cfg shared server,Location 2,1,K,Production,Instance 1,Replication (Repliweb) - Neutral Zone,Scheduled,1/15/2016,NULL,NULL
114378,g4u0403c.sdklsdla.company.com,g4u0403c,Physical,active,hp-ux,,cfg shared server,Location 1,1,B,Production,Instance 1,Database(Oracle) - SDBU,Scheduled,1/15/2016,NULL,NULL
202138,c1w06419.itcs.company.com,c1w06419,Cloud,release,windows,,Cloud Automation,,,,Staging,Instance 2,Dedicated Web Hosting (IIS),Complete,3/1/2015,3/1/2015,NULL
113304,g1u0942c.dsflakdjfl.company.com,g1u0942c,Physical,active,hp-ux,,cfg shared server,Location 2,1,B,Development,Instance 3,Database(Oracle) - SDBU,Complete,5/1/2015,3/1/2015,NULL
116063,g2u1615c.dsflakdjfl.company.com,g2u1615c,Physical,active,hp-ux,,,Location 5,1,B,Production,Instance 2,SAP,Scheduled,7/12/2015,NULL,NULL
115854,c1w09223.itcs.company.com,c1w09223,Cloud,release,windows,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,7/15/2015,NULL,NULL
115854,g1t3580.dsflakdjfl.company.com,g1t3580,Physical,active,linux,,,Location 2,1,B,Production,Instance 2,SAP,Scheduled,7/15/2015,NULL,NULL
201843,c4t07614.itcs.company.com,c4t07614,Cloud,decommissioned,linux,,Cloud Automation,,,,Development,Instance 1,#N/A,Complete,3/1/2015,3/1/2015,NULL
115854,g1u2177.dsflakdjfl.company.com,g1u2177,Physical,active,hp-ux,,,Location 2,1,E,Production,Instance 2,SAP,Scheduled,7/15/2015,NULL,NULL
115854,g2u1577.dsflakdjfl.company.com,g2u1577,Physical,active,hp-ux,,,Location 5,1,B,Production,Instance 2,SAP,Scheduled,7/15/2015,NULL,NULL
115854,g9t3985.sdklsdla.company.com,g9t3985,Physical,active,linux,,,Location 3,,K,Staging,Instance 2,SAP,Scheduled,4/3/2015,NULL,NULL
115854,g9u0907.sdklsdla.company.com,g9u0907,Physical,active,hp-ux,,,Location 3,1,D,Test,Instance 2,SAP,Complete,4/3/2015,4/3/2015,NULL
201764,c1w08338.itcs.company.com,c1w08338,Cloud,release,windows,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201694,g4u0410c.sdklsdla.company.com,g4u0410c,Physical,active,hp-ux,,cfg shared server,Location 1,1,G,Development,Instance 1,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201694,g4u2650,g4u2650,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g4u2650,g4u2650,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g4u2651,g4u2651,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g4u2651,g4u2651,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g4u2652c,g4u2652c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g4u2652c,g4u2652c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g4u2652c,g4u2652c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g4u2652c,g4u2652c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g4u2653c,g4u2653c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g4u2653c,g4u2653c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g4u2653c,g4u2653c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g4u2653c,g4u2653c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g4u2689c,g4u2689c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g4u2689c,g4u2689c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g4u2690c,g4u2690c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g4u2690c,g4u2690c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g9u1465c,g9u1465c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g9u1465c,g9u1465c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g9u1466c,g9u1466c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g9u1466c,g9u1466c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g9u1493c,g9u1493c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g9u1493c,g9u1493c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201694,g9u1494c,g9u1494c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g9u1494c,g9u1494c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201797,c2t04325.itcs.company.com,c2t04325,Cloud,decommissioned,linux,,Cloud Automation,,,,Staging,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201797,c2t04326.itcs.company.com,c2t04326,Cloud,decommissioned,linux,,Cloud Automation,,,,Staging,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201797,c4t04323.itcs.company.com,c4t04323,Cloud,release,linux,,Cloud Automation,,,,Development,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201797,c4t04324.itcs.company.com,c4t04324,Cloud,release,linux,,Cloud Automation,,,,Development,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201797,c4t05458.itcs.company.com,c4t05458,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 1,Dedicated Web Hosting (Apache),Scheduled,5/15/2015,NULL,NULL
201797,c4t05459.itcs.company.com,c4t05459,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 1,Dedicated Web Hosting (Apache),Scheduled,5/15/2015,NULL,NULL
201797,c4t05461.itcs.company.com,c4t05461,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 1,Dedicated Web Hosting (Apache),Scheduled,5/15/2015,NULL,NULL
201797,c9t05455.itcs.company.com,c9t05455,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 1,Dedicated Web Hosting (Apache),Scheduled,5/15/2015,NULL,NULL
201797,c9t05456.itcs.company.com,c9t05456,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 1,Dedicated Web Hosting (Apache),Scheduled,5/15/2015,NULL,NULL
201797,c9t05457.itcs.company.com,c9t05457,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 1,Dedicated Web Hosting (Apache),Scheduled,5/15/2015,NULL,NULL
